Tags,Weighted_Popularity
Supernatural,5574
Fantasy,5347
Adventure,5120
Mystery,5101
Sci-Fi,4741
Romance,4494
Slice of Life,4275
Comedy,4134
Horror,4117
Drama,4043
Magic,3980
Action,3919
Slow Burn,3918
Series,3299
Fluff,3283
Angst,3156
Family,3100
"Fantasy, Sci-Fi",2118
Friendship,1670
"Supernatural, Sci-Fi",1653
"Supernatural, Comedy",1478
"Sci-Fi, Angst",1468
"Supernatural, Romance",1439
"Mystery, Magic",1376
"Comedy, Drama",1359
"Drama, Series",1193
"Supernatural, Fantasy",1190
"Sci-Fi, Romance",1169
"Fantasy, Adventure",1158
"Slice of Life, Magic",1145
"Slice of Life, Drama",1104
"Supernatural, Magic",1081
"Supernatural, Mystery",1076
"Adventure, Romance",1048
"Adventure, Slice of Life",1045
"Supernatural, Slow Burn",1039
"Fantasy, Action",996
"Sci-Fi, Action",985
"Comedy, Slow Burn",972
"Slow Burn, Series",966
"Fantasy, Horror",956
"Romance, Magic",936
"Supernatural, Sci-Fi, Romance",934
"Slice of Life, Horror",926
"Slice of Life, Comedy",898
"Romance, Slice of Life",895
"Slice of Life, Fluff",893
"Fantasy, Sci-Fi, Action",881
"Mystery, Drama",873
"Action, Slow Burn",866
"Mystery, Slow Burn",845
"Adventure, Magic",842
"Drama, Family",841
"Sci-Fi, Supernatural, Angst",831
"Supernatural, Angst",831
"Adventure, Comedy",825
"Mystery, Action",806
"Fantasy, Adventure, Sci-Fi",806
"Adventure, Sci-Fi",806
"Supernatural, Comedy, Slow Burn",803
"Action, Angst",796
"Mystery, Slice of Life",793
"Supernatural, Adventure",784
"Drama, Slow Burn",783
"Comedy, Action",783
"Slow Burn, Family",778
"Sci-Fi, Fantasy, Angst",777
"Fantasy, Angst",777
"Magic, Slow Burn",770
"Fantasy, Supernatural, Sci-Fi",767
"Adventure, Action",761
"Comedy, Series",752
"Slice of Life, Comedy, Fluff",736
"Comedy, Fluff",736
"Mystery, Romance",716
"Fluff, Family",698
"Action, Series",688
"Horror, Drama",688
"Drama, Friendship",660
"Sci-Fi, Comedy",651
"Supernatural, Series",648
"Action, Slow Burn, Fluff",612
"Slow Burn, Fluff",612
"Action, Fluff",612
"Supernatural, Slice of Life",610
"Adventure, Drama",607
"Sci-Fi, Friendship",606
"Adventure, Fantasy, Romance",604
"Fantasy, Romance",604
"Supernatural, Action",603
"Fantasy, Slow Burn",599
"Adventure, Slow Burn",588
"Mystery, Angst",574
"Mystery, Comedy",570
"Romance, Comedy",567
"Adventure, Mystery",554
"Mystery, Drama, Slow Burn",547
"Mystery, Family",530
"Comedy, Supernatural, Series",519
"Horror, Action",519
"Sci-Fi, Slow Burn",517
"Horror, Slow Burn",512
"Slice of Life, Slow Burn",505
"Sci-Fi, Supernatural, Romance, Angst",499
"Supernatural, Romance, Angst",499
"Sci-Fi, Romance, Angst",499
"Romance, Angst",499
"Slice of Life, Adventure, Horror",499
"Adventure, Horror",499
"Mystery, Supernatural, Magic",496
"Sci-Fi, Horror",493
"Slow Burn, Fluff, Action, Family",492
"Fluff, Action, Family",492
"Slow Burn, Action, Family",492
"Action, Family",492
"Slow Burn, Fluff, Family",492
"Fantasy, Series",487
"Drama, Fantasy, Friendship",486
"Fantasy, Friendship",486
"Fantasy, Drama",486
"Magic, Friendship",483
"Slice of Life, Mystery, Fluff",483
"Mystery, Fluff",483
"Supernatural, Horror",481
"Sci-Fi, Drama",475
"Action, Horror, Angst",466
"Horror, Angst",466
"Fantasy, Family",463
"Horror, Magic",453
"Sci-Fi, Fluff",449
"Slice of Life, Family",444
"Slice of Life, Magic, Family",444
"Magic, Family",444
"Fantasy, Comedy",444
"Comedy, Supernatural, Drama",439
"Supernatural, Drama",439
"Romance, Slow Burn",438
"Adventure, Sci-Fi, Fantasy, Romance",435
"Adventure, Supernatural, Sci-Fi, Fantasy, Romance",435
"Supernatural, Sci-Fi, Fantasy, Romance",435
"Sci-Fi, Fantasy, Romance",435
